ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_worked_hours;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: No hours actually worked;2021;253.135;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 1-14;2021;336.184;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 15-29;2021;918.576;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 30-34;2021;460.949;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 35-39;2021;604.119;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 40-48;2021;1410.888;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: 49+;2021;1547.515;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Female;Hour bands: Not elsewhere classified;2021;140.152;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Total;2019;10250.671;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: No hours actually worked;2019;262.797;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 1-14;2019;660.144;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 15-29;2019;1608.618;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 30-34;2019;907.084;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 35-39;2019;1052.923;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 40-48;2019;2337.9;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: 49+;2019;3133.402;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Total;Hour bands: Not elsewhere classified;2019;287.803;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: Total;2019;5039.481;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: No hours actually worked;2019;112.214;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 1-14;2019;299.135;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 15-29;2019;731.576;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;Employment by sex and weekly hours actually worked (thousands);Male;Hour bands: 30-34;2019;395.644;Break in series;;Break in series: Methodology revised;Repository: ILO-STATISTICS - Micro data processing
