ref_area.label;source.label;indicator.label;sex.label;classif1.label;time;obs_value_informal;obs_status.label;note_classif.label;note_indicator.label;note_source.label
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Total;2021;84.822;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Agriculture;2021;99.661;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2021;69.324;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Total;2021;95.513;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Agriculture;2021;99.978;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Agriculture, Non-Agriculture): Non-agriculture;2021;88.743;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Total;2021;90.271;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Agriculture;2021;99.835;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Industry;2021;86.183;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Services;2021;76.02;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Total;Economic activity (Broad sector): Not classified;2021;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Total;2021;84.822;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Agriculture;2021;99.661;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Industry;2021;86.268;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Services;2021;63.228;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Male;Economic activity (Broad sector): Not classified;2021;100;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Total;2021;95.513;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Agriculture;2021;99.978;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Industry;2021;85.183;;;;Repository: ILO-STATISTICS - Micro data processing
Angola;LFS - Employment Survey;SDG indicator 8.3.1 - Proportion of informal employment in total employment by sex and sector (%);Female;Economic activity (Broad sector): Services;2021;88.266;;;;Repository: ILO-STATISTICS - Micro data processing
